Namespace,Key,SourceString,Comment
Quest,main_ch1_001,"Find the Broken Lantern","Main quest"
Quest,main_ch1_002,"Secure the Village Field","Main quest"
Quest,main_ch1_003,"Repeating Echoes","Main quest"
Quest,main_ch1_004,"Trace of the Guardian","Main quest"
Quest,main_ch1_005,"Gate of the Mist Lord","Main quest"
Quest,main_ch1_006,"Temper the Gate Key","Main quest"
Quest,main_ch1_007,"Break the First Seal","Main quest"
Quest,main_ch2_001,"Enter the Ashen Road","Main quest"
Quest,main_ch2_002,"Map the Ember Ruins","Main quest"
Quest,main_ch2_003,"Reach the Watch Spire","Main quest"
Quest,main_ch2_004,"Reforge Through Rebirth","Main quest"
Quest,main_ch2_005,"Defeat the Ember Warden","Main quest"
Quest,main_ch3_001,"Enter the Rift Frontier","Main quest"
Quest,main_ch3_002,"Chart the Shadow Fault","Main quest"
Quest,main_ch3_003,"Strength for the Abyss Gate","Main quest"
Quest,main_ch3_004,"Light the Rift Beacon","Main quest"
Quest,main_ch3_005,"Silence the Umbral Legion","Main quest"
Quest,main_ch3_006,"Defeat the Dimension Lord","Main quest"
Quest,main_ch4_001,"Enter the Fractured Sky","Main quest"
Quest,main_ch4_002,"Survey the Mirror Ramparts","Main quest"
Quest,main_ch4_003,"Strength for the Sky Breach","Main quest"
Quest,main_ch4_004,"Raise the Tower Signal","Main quest"
Quest,main_ch4_005,"Break the Mirror Legion","Main quest"
Quest,main_ch4_006,"Defeat the Rift Sovereign","Main quest"
Quest,main_ch5_001,"Descend the Lightless Stair","Main quest"
Quest,main_ch5_002,"Walk the Snuffed Necropolis","Main quest"
Quest,main_ch5_003,"Strength for the Abyssal Throne","Main quest"
Quest,main_ch5_004,"Silence the Void Herald","Main quest"
Quest,main_ch5_005,"Breach the Thunder Barrier","Main quest"
Quest,main_ch5_006,"Defeat Verkas the Dimension Lord","Main quest"
Quest,main_ch6_001,"Enter the Toppled Throne","Main quest"
Quest,main_ch6_002,"Chart the Spilling Necropolis","Main quest"
Quest,main_ch6_003,"Strength for the Collapsing Rift","Main quest"
Quest,main_ch6_004,"Silence the Echo of Collapse","Main quest"
Quest,main_ch6_005,"Cross the Crumbling Thunder Bridge","Main quest"
Quest,main_ch6_006,"Seal the Hollow of Ending","Main quest"
Quest,main_ch7_001,"Enter the Sundered Vault","Main quest"
Quest,main_ch7_002,"Chart the Drowned Reliquary","Main quest"
Quest,main_ch7_003,"Strength for the Severed Gate","Main quest"
Quest,main_ch7_004,"Silence the Severing Choir","Main quest"
Quest,main_ch7_005,"Cross the Severed Thunder Span","Main quest"
Quest,main_ch7_006,"Sever the Last Tether","Main quest"
Quest,main_ch8_001,"Echoes Beyond the Sealed Rift","Main quest"
Quest,main_ch8_002,"Tracks in the Stillness' Wake","Main quest"
Quest,main_ch8_003,"Strength for the New Threshold","Main quest"
Quest,main_ch8_004,"Quiet the Risen Remnant","Main quest"
Quest,main_ch8_005,"Through the Afterrift Expanse","Main quest"
Quest,main_ch8_006,"Confront What the Rift Sealed","Main quest"
Quest,daily_kill_monsters,"Daily Hunt","Daily quest"
Quest,daily_claim_offline,"Claim Rest Rewards","Daily quest"
Quest,daily_enhance_gear,"Temper Equipment","Daily quest"
Quest,daily_reach_level,"Push Your Training","Daily quest"
Quest,daily_spend_gold,"Keep the Market Moving","Daily quest"
Quest,daily_roll_gear_shop,"Try the Gear Shop","Daily quest"
Quest,daily_feed_pet,"Feed a Companion","Daily quest"
Quest,weekly_defeat_bosses,"Weekly Boss Breaker","Weekly quest"
Quest,weekly_rebirth,"Weekly Rebirth","Weekly quest"
Quest,weekly_climb_tower,"Weekly Tower Push","Weekly quest"
Quest,weekly_spend_gold,"Weekly Gold Sink","Weekly quest"
